Date,Product,Category,Quantity,Price,Sales,Customer_ID,Region,Payment_Method,Customer_Type,Discount
2023-01-15,Smartphone,Electronics,1,1177.06,1129.98,CUST1689,Greater Accra,Cash,Retail,0.04
2023-01-15,Desk Lamp,Furniture,1,82.46,73.39,CUST1450,Eastern,Mobile Money,Retail,0.11
2023-01-15,Office Chair,Furniture,3,229.27,619.03,CUST1450,Northern,Cash,Retail,0.1
2023-01-15,Webcam,Electronics,1,165.82,162.5,CUST1988,Eastern,Mobile Money,Retail,0.02
2023-01-16,Mouse,Accessories,7,27.06,151.54,CUST1361,Ashanti,Mobile Money,Wholesale,0.2
2023-01-16,Mouse,Accessories,4,21.2,78.86,CUST1275,Ashanti,Card,Retail,0.07
2023-01-16,Phone Case,Accessories,2,41.64,71.62,CUST1664,Northern,Cash,Retail,0.14
2023-01-16,Office Chair,Furniture,9,215.29,1530.71,CUST1624,Central,Cash,Wholesale,0.21
2023-01-16,Smartphone,Electronics,5,986.42,4389.57,CUST1309,Central,Card,Retail,0.11
2023-01-17,Mouse,Accessories,10,28.86,248.2,CUST1554,Ashanti,Cash,Retail,0.14
2023-01-17,Phone Case,Accessories,2,36.79,72.84,CUST1226,Ashanti,Card,Retail,0.01
2023-01-18,Webcam,Electronics,1,177.5,166.85,CUST1618,Ashanti,Card,Retail,0.06
2023-01-18,Keyboard,Accessories,4,102.64,373.61,CUST1345,Ashanti,Card,Retail,0.09
2023-01-18,Desk,Furniture,1,197.93,188.03,CUST1087,Northern,Mobile Money,Retail,0.05
2023-01-18,Desk Lamp,Furniture,1,50.15,44.63,CUST1573,Ashanti,Mobile Money,Retail,0.11
2023-01-19,Desk Lamp,Furniture,2,35.33,69.95,CUST1743,Eastern,Card,Retail,0.01
2023-01-19,Phone Case,Accessories,1,29.38,26.15,CUST1600,Western,Card,Retail,0.11
2023-01-19,Keyboard,Accessories,1,118.74,113.99,CUST1280,Greater Accra,Cash,Retail,0.04
2023-01-19,Monitor,Electronics,6,251.75,1434.97,CUST1172,Eastern,Cash,Retail,0.05
2023-01-20,Phone Case,Accessories,2,38.5,67.76,CUST1704,Volta,Card,Retail,0.12
2023-01-20,Smartphone,Electronics,1,582.26,529.86,CUST1529,Greater Accra,Bank Transfer,Retail,0.09
2023-01-20,Keyboard,Accessories,2,72.07,134.05,CUST1856,Greater Accra,Mobile Money,Retail,0.07
2023-01-20,Keyboard,Accessories,10,100.48,944.51,CUST1586,Greater Accra,Mobile Money,Wholesale,0.06
2023-01-20,Office Chair,Furniture,2,226.53,407.75,CUST1566,Eastern,Bank Transfer,Retail,0.1
2023-01-20,Phone Case,Accessories,1,19.26,17.72,CUST1778,Greater Accra,Card,Retail,0.08
2023-01-21,Office Chair,Furniture,2,216.54,376.78,CUST1101,Eastern,Mobile Money,Retail,0.13
2023-01-23,Phone Case,Accessories,2,38.71,73.55,CUST1230,Northern,Mobile Money,Retail,0.05
2023-01-23,USB Drive,Accessories,5,13.74,55.65,CUST1266,Ashanti,Cash,Wholesale,0.19
2023-01-23,Office Chair,Furniture,4,178.11,712.44,CUST1556,Bono,Mobile Money,Retail,0.0
2023-01-23,Mouse,Accessories,1,48.96,44.55,CUST1916,Volta,Bank Transfer,Retail,0.09
2023-01-24,Desk,Furniture,4,568.38,2023.43,CUST1644,Greater Accra,Mobile Money,Retail,0.11
2023-01-24,Keyboard,Accessories,8,106.13,730.17,CUST1183,Greater Accra,Bank Transfer,Retail,0.14
2023-01-25,Tablet,Electronics,1,224.35,210.89,CUST1598,Ashanti,Card,Retail,0.06
2023-01-26,Keyboard,Accessories,7,41.64,262.33,CUST1646,Eastern,Mobile Money,Wholesale,0.1
2023-01-26,USB Drive,Accessories,1,24.68,19.5,CUST1411,Volta,Card,Wholesale,0.21
2023-01-29,Headphones,Electronics,3,63.69,175.78,CUST1064,Eastern,Card,Retail,0.08
2023-01-30,Keyboard,Accessories,7,66.7,401.53,CUST1906,Western,Cash,Retail,0.14
2023-01-30,Office Chair,Furniture,1,343.88,309.49,CUST1638,Central,Mobile Money,Retail,0.1
2023-01-30,Phone Case,Accessories,1,13.08,12.16,CUST1375,Central,Cash,Retail,0.07
2023-01-31,Phone Case,Accessories,11,26.69,273.04,CUST1801,Ashanti,Bank Transfer,Retail,0.07
2023-01-31,Phone Case,Accessories,1,25.39,25.14,CUST1842,Ashanti,Bank Transfer,Retail,0.01
2023-01-31,Bookshelf,Furniture,4,271.22,1019.79,CUST1080,Greater Accra,Card,Retail,0.06
2023-01-31,USB Drive,Accessories,2,37.24,64.8,CUST1164,Northern,Cash,Retail,0.13
2023-01-31,Webcam,Electronics,2,99.12,180.4,CUST1034,Western,Mobile Money,Retail,0.09
2023-01-31,Keyboard,Accessories,3,51.6,134.68,CUST1499,Central,Card,Retail,0.13
2023-01-31,USB Drive,Accessories,1,36.64,33.71,CUST1118,Ashanti,Mobile Money,Retail,0.08
2023-01-31,Phone Case,Accessories,1,34.12,32.76,CUST1641,Ashanti,Bank Transfer,Retail,0.04
2023-02-01,Webcam,Electronics,1,114.34,98.33,CUST1136,Central,Mobile Money,Retail,0.14
2023-02-01,Phone Case,Accessories,5,20.51,83.07,CUST1412,Western,Card,Wholesale,0.19
2023-02-02,Desk Lamp,Furniture,2,39.21,67.44,CUST1406,Greater Accra,Mobile Money,Retail,0.14
2023-02-02,Phone Case,Accessories,5,29.52,119.56,CUST1238,Western,Cash,Wholesale,0.19
2023-02-02,Mouse,Accessories,8,27.77,202.17,CUST1522,Greater Accra,Card,Wholesale,0.09
2023-02-02,Phone Case,Accessories,6,27.92,162.49,CUST1485,Eastern,Mobile Money,Retail,0.03
2023-02-02,Desk Lamp,Furniture,1,54.24,47.19,CUST1738,Bono,Card,Retail,0.13
2023-02-03,Mouse,Accessories,1,15.02,14.87,CUST1707,Central,Cash,Retail,0.01
2023-02-03,Smartphone,Electronics,7,378.78,2624.95,CUST1947,Northern,Mobile Money,Retail,0.01
2023-02-03,Desk Lamp,Furniture,7,48.48,285.06,CUST1854,Greater Accra,Bank Transfer,Wholesale,0.16
2023-02-03,Headphones,Electronics,4,105.36,408.8,CUST1037,Ashanti,Card,Retail,0.03
2023-02-03,Tablet,Electronics,2,246.25,448.18,CUST1731,Central,Card,Retail,0.09
2023-02-03,USB Drive,Accessories,2,35.67,67.06,CUST1814,Greater Accra,Card,Retail,0.06
2023-02-03,Keyboard,Accessories,2,36.02,58.35,CUST1654,Greater Accra,Bank Transfer,Wholesale,0.19
2023-02-03,Office Chair,Furniture,1,167.65,144.18,CUST1138,Greater Accra,Mobile Money,Retail,0.14
2023-02-03,Phone Case,Accessories,11,39.2,327.71,CUST1986,Greater Accra,Cash,Wholesale,0.24
2023-02-04,Mouse,Accessories,3,32.73,91.32,CUST1984,Ashanti,Mobile Money,Retail,0.07
2023-02-04,Headphones,Electronics,2,101.83,189.4,CUST1344,Eastern,Mobile Money,Retail,0.07
2023-02-05,Webcam,Electronics,2,86.83,147.61,CUST1301,Bono,Card,Retail,0.15
2023-02-05,Webcam,Electronics,14,110.47,1438.32,CUST1767,Greater Accra,Mobile Money,Retail,0.07
2023-02-06,Mouse,Accessories,8,23.63,181.48,CUST1286,Eastern,Mobile Money,Retail,0.04
2023-02-07,Bookshelf,Furniture,7,133.99,806.62,CUST1199,Greater Accra,Bank Transfer,Retail,0.14
2023-02-07,Desk Lamp,Furniture,6,28.16,155.44,CUST1746,Greater Accra,Card,Retail,0.08
2023-02-07,Mouse,Accessories,1,39.62,36.85,CUST1786,Greater Accra,Cash,Retail,0.07
2023-02-07,Desk Lamp,Furniture,6,41.07,209.46,CUST1885,Greater Accra,Bank Transfer,Retail,0.15
2023-02-08,Desk,Furniture,2,483.73,851.36,CUST1976,Greater Accra,Bank Transfer,Retail,0.12
2023-02-08,Mouse,Accessories,4,29.44,114.23,CUST1590,Eastern,Mobile Money,Retail,0.03
2023-02-08,Desk Lamp,Furniture,2,41.19,72.49,CUST1350,Greater Accra,Cash,Retail,0.12
2023-02-08,USB Drive,Accessories,10,11.42,99.35,CUST1031,Eastern,Card,Retail,0.13
2023-02-09,Desk Lamp,Furniture,3,73.91,188.47,CUST1809,Greater Accra,Cash,Retail,0.15
2023-02-09,Smartphone,Electronics,5,788.03,3349.13,CUST1780,Bono,Card,Wholesale,0.15
2023-02-09,USB Drive,Accessories,6,35.93,204.8,CUST1674,Ashanti,Card,Retail,0.05
2023-02-09,Headphones,Electronics,11,152.9,1597.81,CUST1546,Greater Accra,Mobile Money,Retail,0.05
2023-02-09,Office Chair,Furniture,1,218.64,216.45,CUST1971,Ashanti,Card,Retail,0.01
2023-02-11,Webcam,Electronics,5,138.48,588.54,CUST1886,Central,Mobile Money,Retail,0.15
2023-02-11,Phone Case,Accessories,1,26.76,25.15,CUST1854,Ashanti,Mobile Money,Retail,0.06
2023-02-13,Phone Case,Accessories,4,13.43,48.89,CUST1151,Ashanti,Card,Retail,0.09
2023-02-14,Mouse,Accessories,8,15.33,91.98,CUST1998,Greater Accra,Card,Wholesale,0.25
2023-02-14,Desk,Furniture,1,358.36,354.78,CUST1234,Greater Accra,Mobile Money,Retail,0.01
2023-02-14,Smartphone,Electronics,2,1088.74,1937.96,CUST1367,Volta,Card,Retail,0.11
2023-02-14,Monitor,Electronics,1,366.58,315.26,CUST1015,Ashanti,Mobile Money,Retail,0.14
2023-02-14,Webcam,Electronics,1,75.52,73.25,CUST1164,Ashanti,Bank Transfer,Retail,0.03
2023-02-14,Monitor,Electronics,9,484.58,3314.53,CUST1848,Eastern,Bank Transfer,Wholesale,0.24
2023-02-15,Desk Lamp,Furniture,2,67.28,121.1,CUST1793,Greater Accra,Card,Retail,0.1
2023-02-15,Printer,Electronics,3,436.88,1245.11,CUST1904,Greater Accra,Mobile Money,Retail,0.05
2023-02-15,Monitor,Electronics,10,239.74,2229.58,CUST1952,Western,Mobile Money,Wholesale,0.07
2023-02-15,Webcam,Electronics,2,177.12,308.19,CUST1964,Ashanti,Bank Transfer,Retail,0.13
2023-02-16,Phone Case,Accessories,1,26.76,25.15,CUST1954,Western,Mobile Money,Retail,0.06
2023-02-16,Monitor,Electronics,4,488.45,1797.5,CUST1554,Northern,Mobile Money,Retail,0.08
2023-02-16,Monitor,Electronics,3,437.8,1208.33,CUST1327,Ashanti,Mobile Money,Retail,0.08
2023-02-16,Desk,Furniture,11,198.83,1946.55,CUST1522,Greater Accra,Mobile Money,Wholesale,0.11
2023-02-16,Smartphone,Electronics,1,729.04,626.97,CUST1277,Northern,Mobile Money,Retail,0.14
2023-02-16,Phone Case,Accessories,12,15.19,145.82,CUST1401,Greater Accra,Mobile Money,Wholesale,0.2
2023-02-16,Office Chair,Furniture,4,294.81,1084.9,CUST1929,Central,Mobile Money,Wholesale,0.08
2023-02-16,Desk Lamp,Furniture,3,29.37,74.89,CUST1797,Eastern,Bank Transfer,Retail,0.15
2023-02-17,Keyboard,Accessories,5,78.05,378.54,CUST1885,Greater Accra,Mobile Money,Retail,0.03
2023-02-17,Mouse,Accessories,1,38.22,36.69,CUST1134,Northern,Bank Transfer,Retail,0.04
2023-02-17,Headphones,Electronics,1,162.52,156.02,CUST1730,Greater Accra,Cash,Retail,0.04
2023-02-17,Mouse,Accessories,1,41.12,39.48,CUST1045,Greater Accra,Bank Transfer,Retail,0.04
2023-02-17,Smartphone,Electronics,2,308.1,610.04,CUST1700,Eastern,Card,Retail,0.01
2023-02-17,Monitor,Electronics,1,217.87,198.26,CUST1728,Greater Accra,Mobile Money,Retail,0.09
2023-02-17,Mouse,Accessories,5,32.64,140.35,CUST1997,Bono,Bank Transfer,Retail,0.14
2023-02-18,Desk Lamp,Furniture,2,88.38,164.39,CUST1313,Ashanti,Mobile Money,Retail,0.07
2023-02-19,Webcam,Electronics,1,147.61,129.9,CUST1218,Greater Accra,Card,Retail,0.12
2023-02-20,Printer,Electronics,1,198.47,196.49,CUST1542,Ashanti,Cash,Retail,0.01
2023-02-20,Phone Case,Accessories,3,36.47,102.85,CUST1764,Western,Cash,Retail,0.06
2023-02-21,Headphones,Electronics,9,92.71,725.92,CUST1654,Greater Accra,Cash,Wholesale,0.13
2023-02-21,Headphones,Electronics,1,162.07,141.0,CUST1139,Greater Accra,Cash,Retail,0.13
2023-02-22,Mouse,Accessories,8,33.08,222.3,CUST1391,Volta,Card,Wholesale,0.16
2023-02-22,Phone Case,Accessories,1,31.91,28.08,CUST1657,Greater Accra,Mobile Money,Retail,0.12
2023-02-23,Desk,Furniture,8,548.45,4168.22,CUST1589,Greater Accra,Bank Transfer,Wholesale,0.05
2023-02-23,Desk,Furniture,3,408.12,1175.39,CUST1933,Western,Mobile Money,Retail,0.04
2023-02-23,Laptop,Electronics,1,1466.71,1422.71,CUST1699,Greater Accra,Bank Transfer,Retail,0.03
2023-02-23,Monitor,Electronics,3,243.96,731.88,CUST1256,Greater Accra,Cash,Retail,0.0
2023-02-23,Smartphone,Electronics,1,818.04,801.68,CUST1356,Ashanti,Card,Retail,0.02
2023-02-23,Monitor,Electronics,3,234.03,659.96,CUST1504,Northern,Mobile Money,Retail,0.06
2023-02-23,USB Drive,Accessories,1,15.11,13.75,CUST1999,Central,Mobile Money,Retail,0.09
2023-02-24,Headphones,Electronics,11,63.67,679.36,CUST1641,Volta,Card,Retail,0.03
2023-02-24,Keyboard,Accessories,3,51.49,135.93,CUST1769,Central,Cash,Retail,0.12
2023-02-24,Office Chair,Furniture,11,251.97,2494.5,CUST1950,Ashanti,Card,Retail,0.1
2023-02-24,Keyboard,Accessories,5,81.55,379.21,CUST1738,Greater Accra,Mobile Money,Retail,0.07
2023-02-25,Headphones,Electronics,6,62.16,354.31,CUST1272,Greater Accra,Mobile Money,Wholesale,0.05
2023-02-26,Keyboard,Accessories,5,34.72,152.77,CUST1146,Bono,Mobile Money,Retail,0.12
2023-02-27,Laptop,Electronics,4,1097.94,3996.5,CUST1380,Western,Bank Transfer,Wholesale,0.09
2023-02-27,Desk,Furniture,13,542.04,6130.47,CUST1123,Greater Accra,Mobile Money,Retail,0.13
2023-02-28,Webcam,Electronics,5,70.23,277.41,CUST1356,Greater Accra,Mobile Money,Wholesale,0.21
2023-02-28,Phone Case,Accessories,1,33.06,30.75,CUST1924,Greater Accra,Bank Transfer,Retail,0.07
2023-02-28,USB Drive,Accessories,8,21.3,165.29,CUST1253,Greater Accra,Mobile Money,Retail,0.03
2023-02-28,USB Drive,Accessories,1,30.58,25.99,CUST1990,Northern,Card,Retail,0.15
2023-03-01,Webcam,Electronics,3,148.9,393.1,CUST1147,Eastern,Mobile Money,Retail,0.12
2023-03-01,Webcam,Electronics,3,115.41,301.22,CUST1369,Eastern,Cash,Retail,0.13
2023-03-01,Desk,Furniture,11,339.53,2801.12,CUST1697,Northern,Bank Transfer,Wholesale,0.25
2023-03-01,Webcam,Electronics,1,115.12,107.06,CUST1924,Greater Accra,Mobile Money,Retail,0.07
2023-03-02,Desk Lamp,Furniture,4,54.74,201.44,CUST1099,Greater Accra,Mobile Money,Retail,0.08
2023-03-02,Keyboard,Accessories,1,100.56,96.54,CUST1976,Greater Accra,Card,Retail,0.04
2023-03-02,Monitor,Electronics,7,272.31,1696.49,CUST1834,Greater Accra,Cash,Retail,0.11
2023-03-02,Desk,Furniture,5,520.31,2211.32,CUST1156,Eastern,Cash,Wholesale,0.15
2023-03-02,Desk Lamp,Furniture,7,66.31,450.24,CUST1759,Ashanti,Cash,Retail,0.03
2023-03-02,USB Drive,Accessories,7,34.22,222.77,CUST1894,Ashanti,Cash,Wholesale,0.07
2023-03-03,Headphones,Electronics,2,52.8,96.1,CUST1114,Eastern,Cash,Retail,0.09
2023-03-03,Mouse,Accessories,7,43.31,248.6,CUST1677,Western,Mobile Money,Wholesale,0.18
2023-03-03,Keyboard,Accessories,2,71.91,126.56,CUST1956,Greater Accra,Mobile Money,Wholesale,0.12
2023-03-04,Phone Case,Accessories,10,22.22,219.98,CUST1164,Western,Mobile Money,Retail,0.01
2023-03-05,Phone Case,Accessories,3,42.37,124.57,CUST1542,Volta,Card,Retail,0.02
2023-03-05,Desk Lamp,Furniture,2,26.41,45.95,CUST1513,Greater Accra,Mobile Money,Retail,0.13
2023-03-06,Printer,Electronics,3,189.53,557.22,CUST1665,Western,Mobile Money,Retail,0.02
2023-03-06,Desk,Furniture,2,595.57,1083.94,CUST1587,Volta,Mobile Money,Retail,0.09
2023-03-06,Mouse,Accessories,5,31.55,140.4,CUST1781,Bono,Mobile Money,Wholesale,0.11
2023-03-06,Webcam,Electronics,6,61.36,331.34,CUST1766,Greater Accra,Cash,Retail,0.1
2023-03-06,Monitor,Electronics,1,321.34,298.85,CUST1234,Central,Cash,Retail,0.07
2023-03-07,USB Drive,Accessories,11,17.85,186.53,CUST1902,Western,Card,Retail,0.05
2023-03-07,Webcam,Electronics,1,92.33,82.17,CUST1429,Greater Accra,Mobile Money,Retail,0.11
2023-03-07,Phone Case,Accessories,4,42.64,148.39,CUST1827,Greater Accra,Cash,Wholesale,0.13
2023-03-07,Headphones,Electronics,4,142.38,523.96,CUST1852,Eastern,Cash,Retail,0.08
2023-03-08,Keyboard,Accessories,1,47.28,43.97,CUST1516,Greater Accra,Cash,Wholesale,0.07
2023-03-09,USB Drive,Accessories,13,11.82,118.32,CUST1707,Greater Accra,Mobile Money,Wholesale,0.23
2023-03-09,Desk Lamp,Furniture,1,69.1,67.03,CUST1217,Bono,Card,Retail,0.03
2023-03-09,Laptop,Electronics,2,1071.7,1971.93,CUST1972,Bono,Card,Retail,0.08
2023-03-09,Desk Lamp,Furniture,2,52.38,100.57,CUST1486,Greater Accra,Card,Retail,0.04
2023-03-09,Mouse,Accessories,4,19.47,75.54,CUST1775,Northern,Card,Retail,0.03
2023-03-10,Keyboard,Accessories,1,73.07,69.42,CUST1842,Western,Mobile Money,Retail,0.05
2023-03-11,Desk,Furniture,4,533.81,1943.07,CUST1360,Western,Card,Retail,0.09
2023-03-11,USB Drive,Accessories,1,13.65,12.01,CUST1677,Western,Card,Retail,0.12
2023-03-12,Mouse,Accessories,6,30.47,173.68,CUST1062,Ashanti,Bank Transfer,Wholesale,0.05
2023-03-12,Phone Case,Accessories,1,20.91,19.66,CUST1290,Greater Accra,Mobile Money,Retail,0.06
2023-03-12,Keyboard,Accessories,2,85.06,158.21,CUST1807,Greater Accra,Card,Retail,0.07
2023-03-13,Phone Case,Accessories,2,26.86,52.11,CUST1441,Ashanti,Cash,Retail,0.03
2023-03-13,Monitor,Electronics,3,409.19,1092.54,CUST1726,Greater Accra,Mobile Money,Retail,0.11
2023-03-13,Mouse,Accessories,3,28.37,73.19,CUST1380,Central,Mobile Money,Retail,0.14
2023-03-13,Headphones,Electronics,4,74.71,295.85,CUST1016,Ashanti,Card,Retail,0.01
2023-03-13,Mouse,Accessories,1,49.78,42.81,CUST1154,Northern,Cash,Retail,0.14
2023-03-14,Phone Case,Accessories,4,36.33,127.88,CUST1296,Greater Accra,Card,Retail,0.12
2023-03-14,Mouse,Accessories,9,44.59,349.14,CUST1949,Eastern,Card,Wholesale,0.13
2023-03-14,Mouse,Accessories,3,20.99,57.93,CUST1230,Ashanti,Mobile Money,Retail,0.08
2023-03-14,Keyboard,Accessories,3,73.77,210.24,CUST1754,Western,Mobile Money,Retail,0.05
2023-03-15,Keyboard,Accessories,4,70.49,248.12,CUST1624,Greater Accra,Mobile Money,Retail,0.12
2023-03-15,Office Chair,Furniture,2,297.86,524.23,CUST1390,Eastern,Mobile Money,Retail,0.12
2023-03-15,Headphones,Electronics,5,175.63,693.74,CUST1639,Central,Cash,Wholesale,0.21
2023-03-16,Mouse,Accessories,1,22.53,22.08,CUST1798,Greater Accra,Cash,Retail,0.02
2023-03-16,USB Drive,Accessories,1,16.27,15.29,CUST1560,Eastern,Cash,Retail,0.06
2023-03-16,Desk Lamp,Furniture,4,54.76,199.33,CUST1011,Ashanti,Bank Transfer,Wholesale,0.09
2023-03-16,USB Drive,Accessories,5,21.66,96.39,CUST1946,Volta,Cash,Retail,0.11
2023-03-16,Phone Case,Accessories,1,43.28,39.38,CUST1625,Greater Accra,Mobile Money,Retail,0.09
2023-03-16,Desk Lamp,Furniture,1,31.27,26.89,CUST1221,Central,Card,Retail,0.14
2023-03-16,Desk Lamp,Furniture,3,69.01,180.12,CUST1712,Bono,Mobile Money,Retail,0.13
2023-03-17,Desk,Furniture,13,529.14,6466.09,CUST1054,Greater Accra,Cash,Wholesale,0.06
2023-03-17,Webcam,Electronics,7,63.53,395.79,CUST1327,Volta,Bank Transfer,Wholesale,0.11
2023-03-17,Webcam,Electronics,4,116.72,448.2,CUST1830,Greater Accra,Cash,Retail,0.04
2023-03-19,Mouse,Accessories,4,48.99,184.2,CUST1205,Western,Cash,Wholesale,0.06
2023-03-19,Keyboard,Accessories,3,25.8,71.21,CUST1157,Greater Accra,Mobile Money,Wholesale,0.08
2023-03-20,Webcam,Electronics,1,126.61,121.55,CUST1043,Volta,Cash,Retail,0.04
2023-03-21,Laptop,Electronics,4,805.38,2963.8,CUST1886,Ashanti,Bank Transfer,Retail,0.08
2023-03-21,Phone Case,Accessories,4,32.51,124.84,CUST1883,Greater Accra,Mobile Money,Retail,0.04
2023-03-21,Monitor,Electronics,2,412.08,741.74,CUST1971,Greater Accra,Mobile Money,Retail,0.1
2023-03-21,Tablet,Electronics,5,562.11,2670.02,CUST1983,Greater Accra,Card,Retail,0.05
2023-03-21,Phone Case,Accessories,6,19.62,101.24,CUST1348,Eastern,Cash,Retail,0.14
2023-03-21,Mouse,Accessories,2,38.61,72.59,CUST1380,Western,Mobile Money,Retail,0.06
2023-03-21,Webcam,Electronics,7,76.18,479.93,CUST1603,Volta,Card,Wholesale,0.1
2023-03-22,Phone Case,Accessories,2,12.59,24.17,CUST1840,Greater Accra,Bank Transfer,Retail,0.04
2023-03-22,Mouse,Accessories,2,39.61,77.64,CUST1486,Greater Accra,Cash,Retail,0.02
2023-03-22,Tablet,Electronics,1,270.3,237.86,CUST1751,Northern,Cash,Retail,0.12
2023-03-23,Desk,Furniture,1,336.58,292.82,CUST1294,Bono,Card,Retail,0.13
2023-03-23,USB Drive,Accessories,9,11.19,80.57,CUST1834,Ashanti,Cash,Wholesale,0.2
2023-03-23,Keyboard,Accessories,1,59.74,51.97,CUST1475,Eastern,Cash,Retail,0.13
2023-03-23,USB Drive,Accessories,7,26.32,162.13,CUST1331,Greater Accra,Cash,Retail,0.12
2023-03-23,Headphones,Electronics,5,88.94,386.89,CUST1655,Greater Accra,Card,Retail,0.13
2023-03-23,Headphones,Electronics,1,170.57,162.04,CUST1044,Eastern,Card,Retail,0.05
2023-03-23,Desk,Furniture,6,382.21,1926.34,CUST1197,Bono,Mobile Money,Wholesale,0.16
2023-03-24,Monitor,Electronics,1,265.66,252.38,CUST1124,Bono,Card,Retail,0.05
2023-03-24,Office Chair,Furniture,12,174.21,1902.37,CUST1278,Eastern,Mobile Money,Retail,0.09
2023-03-25,USB Drive,Accessories,1,38.96,38.18,CUST1812,Ashanti,Mobile Money,Retail,0.02
2023-03-25,Headphones,Electronics,2,73.77,137.21,CUST1002,Ashanti,Bank Transfer,Retail,0.07
2023-03-26,USB Drive,Accessories,1,10.89,10.78,CUST1546,Ashanti,Cash,Retail,0.01
2023-03-27,Mouse,Accessories,5,19.96,99.8,CUST1292,Bono,Mobile Money,Retail,0.0
2023-03-27,Keyboard,Accessories,4,72.98,268.57,CUST1787,Eastern,Mobile Money,Wholesale,0.08
2023-03-27,Headphones,Electronics,1,60.89,59.06,CUST1269,Eastern,Card,Retail,0.03
2023-03-28,Bookshelf,Furniture,14,251.85,3032.27,CUST1800,Greater Accra,Mobile Money,Retail,0.14
2023-03-28,Phone Case,Accessories,11,35.58,317.02,CUST1708,Northern,Bank Transfer,Wholesale,0.19
2023-03-28,Monitor,Electronics,5,247.87,1202.17,CUST1477,Northern,Mobile Money,Retail,0.03
2023-03-28,Desk Lamp,Furniture,2,70.49,138.16,CUST1559,Ashanti,Card,Retail,0.02
